"","country","continent"
"1","Albania","Europe"
"2","Andorra","Europe"
"4","Austria","Europe"
"6","Belarus","Europe"
"7","Belgium","Europe"
"8","Bosnia and Herzegovina","Europe"
"9","Bulgaria","Europe"
"10","Croatia","Europe"
"12","Czech Republic","Europe"
"13","Denmark","Europe"
"14","Estonia","Europe"
"15","Finland","Europe"
"16","France","Europe"
"18","Germany","Europe"
"19","Greece","Europe"
"20","Hungary","Europe"
"21","Iceland","Europe"
"22","Ireland","Europe"
"23","Italy","Europe"
"25","Latvia","Europe"
"26","Liechtenstein","Europe"
"27","Lithuania","Europe"
"28","Luxembourg","Europe"
"29","Malta","Europe"
"30","Moldova","Europe"
"31","Monaco","Europe"
"32","Montenegro","Europe"
"33","Netherlands","Europe"
"34","North Macedonia","Europe"
"35","Norway","Europe"
"36","Poland","Europe"
"37","Portugal","Europe"
"38","Romania","Europe"
"40","San Marino","Europe"
"41","Serbia","Europe"
"42","Slovakia","Europe"
"43","Slovenia","Europe"
"44","Spain","Europe"
"45","Sweden","Europe"
"46","Switzerland","Europe"
"48","Ukraine","Europe"
"49","United Kingdom","Europe"
"50","Vatican City","Europe"
"51","Abkhazia","Europe"
"52","Kosovo","Europe"
"55","Transnistria","Europe"
"56","Akrotiri and Dhekelia","Europe"
"57","Faroe Islands","Europe"
"58","Gibraltar","Europe"
"59","Guernsey, Bailiwick of","Europe"
"59","Guernsey","Europe"
"60","Isle of Man","Europe"
"60","IsleofMan","Europe"
"61","Jan Mayen","Europe"
"62","Jersey","Europe"
"63","Svalbard","Europe"
"64","Åland","Europe"
"66","Cyprus","Europe"
"67","South Ossetia","Europe"
"68","Antigua and Barbuda","North America"
"69","Bahamas, The","North America"
"69","Bahamas","North America"
"70","Barbados","North America"
"71","Belize","North America"
"72","Canada","North America"
"73","Costa Rica","North America"
"74","Cuba","North America"
"75","Dominica","North America"
"76","Dominican Republic","North America"
"77","El Salvador","North America"
"78","Grenada","North America"
"79","Guatemala","North America"
"80","Haiti","North America"
"81","Honduras","North America"
"82","Jamaica","North America"
"83","Mexico","North America"
"83","México","North America"
"84","Nicaragua","North America"
"85","Panama","North America"
"86","Saint Kitts and Nevis","North America"
"87","Saint Lucia","North America"
"88","Saint Vincent and the Grenadines","North America"
"89","Trinidad and Tobago","North America"
"90","United States","North America"
"91","Anguilla","North America"
"92","Aruba","North America"
"93","Bermuda","North America"
"94","Bonaire","North America"
"94","Bonaire, Sint Eustatius and Saba","North America"
"95","British Virgin Islands","North America"
"96","Cayman Islands","North America"
"96","CaymanIslands","North America"
"97","Clipperton Island","North America"
"98","Curaçao","North America"
"99","Greenland","North America"
"100","Guadeloupe","North America"
"101","Martinique","North America"
"102","Montserrat","North America"
"103","Navassa Island","North America"
"104","Puerto Rico","North America"
"105","Saba","North America"
"106","Saint Barthélemy","North America"
"107","Saint Martin","North America"
"107","Saint-Martin","North America"
"108","Saint Pierre and Miquelon","North America"
"108","SaintPierreandMiquelon","North America"
"109","Sint Eustatius","North America"
"110","Sint Maarten","North America"
"111","Turks and Caicos Islands","North America"
"112","United States Virgin Islands","North America"
"112","Virgin Islands, U.S.","North America"
"116","Argentina","South America"
"117","Bolivia","South America"
"118","Brazil","South America"
"119","Chile","South America"
"120","Colombia","South America"
"121","Ecuador","South America"
"122","Guyana","South America"
"123","Paraguay","South America"
"124","Peru","South America"
"125","Suriname","South America"
"126","Uruguay","South America"
"127","Venezuela","South America"
"128","Bouvet Island","South America"
"129","Falklands","South America"
"130","French Guiana","South America"
"131","Saint Helena, Ascension and Tristan da Cunha","South America"
"132","South Georgia and the South Sandwich Islands","South America"
"136","Afghanistan","Asia"
"137","Armenia","Asia"
"138","Azerbaijan","Asia"
"139","Bahrain","Asia"
"140","Bangladesh","Asia"
"141","Bhutan","Asia"
"142","Brunei","Asia"
"143","Cambodia","Asia"
"144","China","Asia"
"148","Georgia","Asia"
"149","India","Asia"
"151","Iran","Asia"
"152","Iraq","Asia"
"153","Israel","Asia"
"154","Japan","Asia"
"155","Jordan","Asia"
"156","Kazakhstan","Asia"
"157","North Korea","Asia"
"157","Korea, North","Asia"
"158","South Korea","Asia"
"158","Korea, South","Asia"
"159","Kuwait","Asia"
"160","Kyrgyzstan","Asia"
"161","Laos","Asia"
"162","Lebanon","Asia"
"163","Malaysia","Asia"
"164","Maldives","Asia"
"165","Mongolia","Asia"
"166","Myanmar","Asia"
"167","Nepal","Asia"
"168","Oman","Asia"
"169","Pakistan","Asia"
"170","Philippines","Asia"
"171","Qatar","Asia"
"172","Russia","Asia"
"173","Saudi Arabia","Asia"
"174","Singapore","Asia"
"175","Sri Lanka","Asia"
"176","Syria","Asia"
"177","Tajikistan","Asia"
"178","Thailand","Asia"
"179","Turkey","Asia"
"180","Turkmenistan","Asia"
"181","United Arab Emirates","Asia"
"182","Uzbekistan","Asia"
"183","Vietnam","Asia"
"184","Yemen","Asia"
"185","Abkhazia","Asia"
"186","Northern Cyprus","Asia"
"187","South Ossetia","Asia"
"188","Taiwan","Asia"
"189","Akrotiri and Dhekelia","Asia"
"189","AkrotiriandDhekelia","Asia"
"190","Ashmore and Cartier Islands","Asia"
"191","British Indian Ocean Territory","Asia"
"192","Christmas Island","Asia"
"193","Cocos (Keeling) Islands","Asia"
"194","Hong Kong","Asia"
"195","Macau","Asia"
"203","Algeria","Africa"
"204","Angola","Africa"
"205","Benin","Africa"
"206","Botswana","Africa"
"207","Burkina Faso","Africa"
"208","Burundi","Africa"
"209","Cameroon","Africa"
"210","Cape Verde","Africa"
"210","CaboVerde","Africa"
"211","Central African Republic","Africa"
"212","Chad","Africa"
"213","Comoros","Africa"
"214","Congo, Democratic Republic of the","Africa"
"215","Congo, Republic of the","Africa"
"215","Democratic Republic of the Congo","Africa"
"215","Republic of the Congo","Africa"
"216","Djibouti","Africa"
"217","Egypt","Africa"
"218","Equatorial Guinea","Africa"
"219","Eritrea","Africa"
"220","Eswatini","Africa"
"221","Ethiopia","Africa"
"222","Gabon","Africa"
"223","Gambia, The","Africa"
"223","Gambia","Africa"
"224","Ghana","Africa"
"225","Guinea","Africa"
"226","Guinea-Bissau","Africa"
"227","Ivory Coast","Africa"
"227","Côte d'Ivoire","Africa"
"228","Kenya","Africa"
"229","Lesotho","Africa"
"230","Liberia","Africa"
"231","Libya","Africa"
"232","Madagascar","Africa"
"233","Malawi","Africa"
"234","Mali","Africa"
"235","Mauritania","Africa"
"236","Mauritius","Africa"
"237","Morocco","Africa"
"238","Mozambique","Africa"
"239","Namibia","Africa"
"240","Niger","Africa"
"241","Nigeria","Africa"
"242","Rwanda","Africa"
"243","São Tomé and Príncipe","Africa"
"244","Senegal","Africa"
"245","Seychelles","Africa"
"246","Sierra Leone","Africa"
"247","Somalia","Africa"
"248","South Africa","Africa"
"249","South Sudan","Africa"
"250","Sudan","Africa"
"251","Tanzania","Africa"
"252","Togo","Africa"
"253","Tunisia","Africa"
"254","Uganda","Africa"
"255","Zambia","Africa"
"256","Zimbabwe","Africa"
"257","Sahrawi Arab Democratic Republic","Africa"
"258","Somaliland","Africa"
"259","Bouvet Island","Africa"
"260","British Indian Ocean Territory","Africa"
"261","French Southern and Antarctic Lands","Africa"
"262","Heard Island and McDonald Islands","Africa"
"263","Mayotte","Africa"
"264","Réunion","Africa"
"265","Saint Helena, Ascension and Tristan da Cunha","Africa"
"269","Australia","Oceania"
"270","Fiji","Oceania"
"271","Indonesia","Asia"
"272","Kiribati","Oceania"
"273","Marshall Islands","Oceania"
"274","Micronesia","Oceania"
"275","Nauru","Oceania"
"276","New Zealand","Oceania"
"277","Palau","Oceania"
"278","Papua New Guinea","Oceania"
"279","Samoa","Oceania"
"280","Solomon Islands","Oceania"
"281","Tonga","Oceania"
"282","Tuvalu","Oceania"
"283","Vanuatu","Oceania"
"284","Cook Islands","Oceania"
"285","Niue","Oceania"
"286","American Samoa","Oceania"
"287","Ashmore and Cartier Islands","Oceania"
"288","Baker Island","Oceania"
"289","Christmas Island","Oceania"
"290","Clipperton Island","Oceania"
"291","Cocos (Keeling) Islands","Oceania"
"292","Coral Sea Islands","Oceania"
"293","French Polynesia","Oceania"
"294","French Southern and Antarctic Lands","Oceania"
"295","Guam","Oceania"
"296","Heard Island and McDonald Islands","Oceania"
"297","Howland Island","Oceania"
"298","Jarvis Island","Oceania"
"299","Johnston Atoll","Oceania"
"300","Kingman Reef","Oceania"
"301","Midway Atoll","Oceania"
"302","New Caledonia","Oceania"
"303","Norfolk Island","Oceania"
"304","Northern Mariana Islands","Oceania"
"305","Palmyra Atoll","Oceania"
"306","Pitcairn Islands","Oceania"
"307","Tokelau","Oceania"
"308","Wake Island","Oceania"
"309","Wallis and Futuna","Oceania"
"312","East Timor","Oceania"
"312","Timor-Leste","Oceania"

