nation,jungle
Democratic Republic of the Congo,Congo
Republic of the Congo,Congo
Cameroon,Congo
Angola,Congo
Central African Republic,Congo
Equatorial Guinea,Congo
Gabon,Congo
Bolivia,Amazon
Brazil,Amazon
Colombia,Amazon
Ecuador,Amazon
French Guiana,Amazon
Guyana,Amazon
Peru,Amazon
Suriname,Amazon
Venezuela,Amazon
