"year","tc_loss_ha_log","country.id","driver.id"
2001,1.39,1,2
2001,4.17,1,1
2001,1.1,1,4
2002,4.22,1,2
2002,3.95,1,1
2002,3.47,1,4
2003,0,1,3
2003,4.49,1,2
2003,2.3,1,1
2003,4.82,1,4
2004,4.99,1,2
2004,3.26,1,1
2004,2.48,1,4
2005,4.97,1,2
2005,2.77,1,1
2005,3.95,1,4
2006,4.63,1,2
2006,2.4,1,1
2006,3.22,1,4
2007,5.21,1,2
2007,2.4,1,1
2007,3.61,1,4
2008,4.26,1,2
2008,2.2,1,1
2008,2.89,1,4
2009,0,1,3
2009,3.56,1,2
2009,2.3,1,1
2009,2.64,1,4
2010,4.2,1,2
2010,1.61,1,1
2010,2.2,1,4
2011,3.87,1,2
2011,1.79,1,1
2011,3.89,1,4
2012,2.56,1,2
2012,2.48,1,1
2012,1.79,1,4
2013,0,1,2
2013,0,1,1
2014,0,1,3
2014,0.69,1,2
2014,0,1,1
2014,0,1,4
2018,3.22,1,2
2018,0,1,4
2019,2.3,1,2
2019,0,1,1
2019,1.1,1,4
2020,2.89,1,2
2020,2.77,1,4
2021,2.94,1,2
2021,0,1,1
2021,2.08,1,4
2022,1.39,1,2
2022,0,1,1
2022,1.39,1,4
2023,1.1,1,2
2023,0.69,1,1
2023,2.48,1,4
2024,1.1,1,2
2024,0,1,1
2024,1.95,1,4
2025,1.1,1,2
2025,0,1,1
2025,1.95,1,4
2001,0,2,1
2001,0,2,4
2004,0.69,2,1
2006,1.61,2,1
2007,1.79,2,1
2008,1.1,2,1
2009,1.79,2,1
2010,0,2,1
2011,0,2,1
2011,0,2,4
2012,1.39,2,1
2013,0.69,2,1
2014,1.1,2,1
2015,2.4,2,1
2016,2.89,2,1
2017,1.39,2,1
2018,0.69,2,1
2019,0.69,2,1
2020,0.69,2,1
2021,1.1,2,1
2022,0,2,4
2024,1.1,2,1
2025,1.1,2,1
2001,3.56,4,3
2001,6.86,4,2
2001,5.7,4,1
2001,7.7,4,4
2002,2.89,4,3
2002,6.19,4,2
2002,3.71,4,1
2002,5.67,4,4
2003,1.79,4,3
2003,4.99,4,2
2003,4.14,4,1
2003,5.86,4,4
2004,3.3,4,3
2004,7.02,4,2
2004,5.99,4,1
2004,7.28,4,4
2005,2.48,4,3
2005,5.65,4,2
2005,4.38,4,1
2005,5.62,4,4
2006,1.61,4,3
2006,6,4,2
2006,4.95,4,1
2006,5.89,4,4
2007,4.28,4,3
2007,6.38,4,2
2007,6.2,4,1
