"id","subnational"
1,"Abia"
2,"Abidjan"
3,"Abra"
4,"Aceh"
5,"Acklins"
6,"Acre"
7,"Adamaoua"
8,"Adamawa"
9,"Adjumani"
10,"Aguadilla"
11,"Agusan del Norte"
12,"Agusan del Sur"
13,"Ahafo"
14,"Ahuachapán"
15,"Aimeliik"
16,"Airai"
17,"Aklan"
18,"Akwa Ibom"
19,"Alagoas"
20,"Alajuela"
21,"Albay"
22,"Alta Verapaz"
23,"Alto Paraguay"
24,"Alto Paraná"
25,"Amajyaruguru"
26,"Amajyepfo"
27,"Amambay"
28,"Amapá"
29,"Amazonas"
30,"Amhara"
31,"Amnat Charoen"
32,"Ampara"
33,"An Giang"
34,"Anambra"
35,"Andaman and Nicobar"
36,"Andhra Pradesh"
37,"Anse-la-Raye"
38,"Antananarivo"
39,"Antioquia"
40,"Antique"
41,"Antsiranana"
42,"Anuradhapura"
43,"Anzoátegui"
44,"Apayao"
45,"Apure"
46,"Apurímac"
47,"Aragua"
48,"Arauca"
49,"Arecibo"
50,"Arequipa"
51,"Arunachal Pradesh"
52,"Arusha"
53,"Ashanti"
54,"Assam"
55,"Atlántico"
56,"Atlántico Norte"
57,"Atlántico Sur"
58,"Atlántida"
59,"Atlantique"
60,"Attapu"
61,"Aurora"
62,"Ayacucho"
63,"Ayeyarwady"
64,"Azua"
65,"Azuay"
66,"Bà Rịa - Vũng Tàu"
67,"Bắc Giang"
68,"Bắc Kạn"
69,"Badulla"
70,"Bafatá"
71,"Bago"
72,"Bahia"
73,"Bahoruco"
74,"Baja Verapaz"
75,"Bali"
76,"Bamingui-Bangoran"
77,"Bangka Belitung"
78,"Bangui"
79,"Bântéay Méanchey"
80,"Banten"
81,"Barahona"
82,"Barceloneta"
83,"Barima-Waini"
84,"Barinas"
85,"Baringo"
86,"Barisal"
87,"Bas-Sassandra"
88,"Bas-Uele"
89,"Basilan"
90,"Basse-Kotto"
91,"Basse-Terre"
92,"Bataan"
93,"Batanes"
94,"Batdâmbâng"
95,"Batticaloa"
96,"Bayelsa"
97,"Belait"
98,"Belize"
99,"Bengkulu"
100,"Bengo"
101,"Benguela"
102,"Benguet"
103,"Beni"
104,"Benshangul-Gumaz"
105,"Bihar"
106,"Biliran"
107,"Bình Định"
108,"Bình Phước"
109,"Bình Thuận"
110,"Bioko Norte"
111,"Bioko Sur"
112,"Biombo"
113,"Boaco"
114,"Bocas del Toro"
115,"Bogotá D.C."
116,"Bohol"
117,"Boké"
118,"Bokeo"
119,"Bolama"
120,"Bolikhamxai"
121,"Bolivar"
122,"Bolívar"
123,"Bomet"
124,"Bomi"
125,"Bong"
126,"Bono"
127,"Boquerón"
128,"Bouenza"
129,"Bougainville"
130,"Boyacá"
131,"Brokopondo"
132,"Brunei and Muara"
133,"Bubanza"
134,"Bueng Kan"
135,"Bugiri"
136,"Bukidnon"
137,"Bulacan"
138,"Bumthang"
139,"Bundibugyo"
140,"Bungoma"
141,"Buri Ram"
142,"Bururi"
143,"Bushenyi"
144,"Busia"
145,"Cà Mau"
146,"Caaguazú"
147,"Caazapá"
148,"Cabinda"
149,"Cabo Delgado"
150,"Cacheu"
151,"Cagayan"
152,"Cajamarca"
153,"Caldas"
154,"Camagüey"
155,"Camarines Norte"
156,"Camarines Sur"
157,"Camiguin"
158,"Campeche"
159,"Camuy"
160,"Cañar"
161,"Canaries"
162,"Canindeyú"
163,"Canóvanas"
164,"Cao Bằng"
165,"Capiz"
166,"Caquetá"
167,"Carabobo"
168,"Carchi"
169,"Carolina"
170,"Cartago"
171,"Casanare"
172,"Castries"
173,"Catamarca"
174,"Catanduanes"
175,"Cauca"
176,"Cayenne"
177,"Cayo"
178,"Ceará"
179,"Cebu"
180,"Ceiba"
181,"Central"
182,"Centre"
183,"Centro Sur"
184,"Cesar"
185,"Chachoengsao"
186,"Chaco"
187,"Chai Nat"
188,"Chaiyaphum"
189,"Champasak"
190,"Chanthaburi"
191,"Charlotte"
192,"Chhattisgarh"
193,"Chhukha"
194,"Chiang Mai"
195,"Chiang Rai"
196,"Chiapas"
197,"Chimaltenango"
198,"Chimborazo"
199,"Chimbu"
200,"Chin"
201,"Chinandega"
202,"Chiquimula"
203,"Chiriquí"
204,"Chitipa"
205,"Chittagong"
206,"Chocó"
207,"Choiseul"
208,"Choluteca"
209,"Chon Buri"
210,"Christ Church Nichola Town"
211,"Chumphon"
212,"Chuquisaca"
213,"Ciales"
214,"Cibitoke"
215,"Ciego de Ávila"
216,"Cienfuegos"
217,"Clarendon"
218,"Cochabamba"
219,"Coclé"
220,"Cojedes"
221,"Colima"
222,"Colombo"
223,"Colón"
224,"Comayagua"
225,"Commewijne"
226,"Comoé"
227,"Compostela Valley"
228,"Conakry"
229,"Concepción"
230,"Copán"
231,"Cordillera"
232,"Córdoba"
233,"Coronie"
234,"Corozal"
235,"Cortés"
236,"Cotopaxi"
237,"Crooked Island"
238,"Cross River"
239,"Cuando Cubango"
240,"Cuanza Norte"
241,"Cuanza Sul"
242,"Cundinamarca"
243,"Cusco"
244,"Cuvette"
245,"Cuvette-Ouest"
246,"Cuyuni-Mazaruni"
247,"Đà Nẵng"
248,"Dagana"
249,"Dajabón"
250,"Đắk Lắk"
251,"Đắk Nông"
252,"Dar es Salaam"
253,"Darién"
254,"Davao del Norte"
255,"Davao del Sur"
256,"Davao Oriental"
257,"Delta"
258,"Delta Amacuro"
259,"Demerara-Mahaica"
260,"Dennery"
261,"Dhaka"
262,"Điện Biên"
263,"Dinagat Islands"
264,"Distrito Capital"
265,"Distrito Federal"
266,"Dodoma"
267,"Đồng Nai"
268,"Dorado"
269,"Duarte"
270,"East"
271,"East Berbice-Corentyne"
272,"East New Britain"
273,"East Sepik"
274,"EastEnd"
275,"Eastern"
276,"Eastern Cape"
277,"Eastern Equatoria"
278,"Eastern Highlands"
279,"Eastern Samar"
280,"Edo"
281,"Ekiti"
282,"El Paraíso"
283,"El Progreso"
284,"El Seybo"
285,"Elgeyo-Marakwet"
286,"Emberá"
287,"Embu"
288,"Enga"
289,"Enugu"
290,"Équateur"
291,"Escuintla"
292,"Esmeraldas"
293,"Espaillat"
294,"Espírito Santo"
295,"Essequibo Islands-West Demerara"
296,"Est"
297,"Estelí"
298,"Estuaire"
299,"Fajardo"
300,"Falcón"
301,"Far-Western"
302,"Fianarantsoa"
303,"Florida"
304,"Formosa"
305,"Fort-de-France"
