"year","tc_loss_ha_log","country.id","driver.id"
2002,2.2,1,3
2002,4.63,1,2
2002,6.06,1,1
2002,7.96,1,1
2002,1.95,1,4
2003,1.39,1,3
2003,4.65,1,2
2003,5.86,1,1
2003,7.8,1,1
2003,2.3,1,4
2004,1.39,1,3
2004,3.85,1,2
2004,5.8,1,1
2004,7.56,1,1
2004,1.1,1,4
2005,1.61,1,3
2005,4.74,1,2
2005,5.86,1,1
2005,7.85,1,1
2005,1.39,1,4
2006,1.95,1,3
2006,4.34,1,2
2006,5.56,1,1
2006,6.9,1,1
2006,3.14,1,4
2007,2.3,1,3
2007,5.48,1,2
2007,7.19,1,1
2007,8.75,1,1
2007,2.48,1,4
2008,1.95,1,3
2008,4.04,1,2
2008,6.04,1,1
2008,7.66,1,1
2008,2.4,1,4
2009,2.77,1,3
2009,5.72,1,2
2009,6.83,1,1
2009,8.28,1,1
2009,1.95,1,4
2010,2.2,1,3
2010,5.14,1,2
2010,6.77,1,1
2010,8.3,1,1
2010,2.3,1,4
2011,2.2,1,3
2011,4.97,1,2
2011,6.8,1,1
2011,8.04,1,1
2011,1.79,1,4
2012,2.3,1,3
2012,5.33,1,2
2012,7.23,1,1
2012,8.26,1,1
2012,2.08,1,4
2013,3.09,1,3
2013,6.15,1,2
2013,7.45,1,1
2013,8.84,1,1
2013,1.79,1,4
2014,3.85,1,3
2014,6.83,1,2
2014,7.59,1,1
2014,8.95,1,1
2014,1.79,1,4
2015,3.64,1,3
2015,5.53,1,2
2015,7.47,1,1
2015,8.82,1,1
2015,4.06,1,4
2016,3.61,1,3
2016,5.14,1,2
2016,7.9,1,1
2016,9.11,1,1
2016,2.08,1,4
2017,4.04,1,3
2017,5.04,1,2
2017,7.82,1,1
2017,9.03,1,1
2017,3.18,1,4
2018,3.22,1,3
2018,4.72,1,2
2018,8.1,1,1
2018,9.21,1,1
2018,3.09,1,4
2019,3.69,1,3
2019,4.47,1,2
2019,7.67,1,1
2019,8.95,1,1
2019,2.48,1,4
2020,2.64,1,3
2020,5.03,1,2
2020,7.68,1,1
2020,8.77,1,1
2020,2.4,1,4
2021,3.09,1,3
2021,4.49,1,2
2021,8.83,1,1
2021,9.75,1,1
2021,4.3,1,4
2022,3.58,1,3
2022,3.43,1,2
2022,8.34,1,1
2022,9.33,1,1
2022,3.09,1,4
2023,4.69,1,3
2023,4.45,1,2
2023,8.4,1,1
2023,9.46,1,1
2023,4.04,1,4
2024,4.41,1,3
2024,3.76,1,2
2024,8.22,1,1
2024,9.18,1,1
2024,4.62,1,4
2025,4.13,1,3
2025,4.8,1,2
2025,8.59,1,1
2025,9.66,1,1
2025,5.78,1,4
2002,4.32,2,3
2002,7.32,2,2
2002,8.86,2,1
2002,1.1,2,1
2002,5.93,2,4
2003,5.07,2,3
2003,7.58,2,2
2003,9.33,2,1
2003,0.69,2,1
2003,6.46,2,4
2004,4.19,2,3
2004,8.04,2,2
2004,10.06,2,1
2004,1.79,2,1
2004,6.94,2,4
2005,4.61,2,3
2005,7.77,2,2
2005,10.21,2,1
2005,2.4,2,1
2005,7.02,2,4
2006,5.43,2,3
2006,8.1,2,2
2006,9.87,2,1
2006,2.2,2,1
2006,6.23,2,4
2007,5.16,2,3
2007,8.12,2,2
2007,9.54,2,1
2007,2.48,2,1
2007,6.4,2,4
2008,5.86,2,3
2008,8.16,2,2
2008,10.61,2,1
2008,2.89,2,1
2008,7.03,2,4
2009,5.15,2,3
2009,7.34,2,2
2009,9.73,2,1
2009,2.56,2,1
2009,7.22,2,4
2010,5.15,2,3
2010,7.33,2,2
2010,10.17,2,1
2010,1.95,2,1
2010,7.8,2,4
2011,4.14,2,3
2011,7.43,2,2
2011,9.48,2,1
2011,0.69,2,1
2011,7.43,2,4
2012,4.13,2,3
2012,7.38,2,2
2012,9.73,2,1
2012,1.1,2,1
2012,8.4,2,4
2013,4.83,2,3
2013,7.5,2,2
2013,9.94,2,1
2013,2.2,2,1
2013,10.21,2,4
2014,3.81,2,3
2014,7,2,2
2014,9.54,2,1
2014,1.79,2,1
2014,8.03,2,4
2015,5.05,2,3
2015,6.78,2,2
2015,9.03,2,1
2015,1.1,2,1
2015,5.75,2,4
2016,4.53,2,3
2016,7.36,2,2
2016,9.3,2,1
2016,1.39,2,1
2016,7.39,2,4
2017,5.16,2,3
2017,7.65,2,2
2017,9.49,2,1
2017,1.95,2,1
2017,6.65,2,4
2018,4.89,2,3
2018,6.65,2,2
2018,9.02,2,1
2018,0.69,2,1
2018,5.2,2,4
2019,4.82,2,3
2019,6.99,2,2
2019,8.85,2,1
2019,1.1,2,1
2019,6.11,2,4
2020,4.88,2,3
2020,7.19,2,2
2020,9.24,2,1
2020,5.06,2,1
2020,8.98,2,4
2021,5.07,2,3
2021,6.6,2,2
2021,9.09,2,1
2021,1.39,2,1
2021,7.59,2,4
2022,4.65,2,3
2022,7.76,2,2
2022,9.35,2,1
2022,1.79,2,1
2022,8.86,2,4
2023,4.34,2,3
2023,6.61,2,2
2023,8.75,2,1
2023,1.61,2,1
2023,8.3,2,4
2024,4.97,2,3
2024,6.74,2,2
2024,9.14,2,1
2024,0.69,2,1
2024,7.24,2,4
2025,4.76,2,3
2025,6.83,2,2
2025,8.96,2,1
2025,0,2,1
2025,7.61,2,4
2010,0,3,4
2014,1.79,3,4
2016,0,3,1
2019,0,3,4
2021,0,3,4
2023,0.69,3,4
2002,0,4,1
2004,0,4,4
2005,0,4,4
2006,0,4,2
2006,0,4,4
2007,0.69,4,4
2009,0.69,4,2
2009,0.69,4,4
2010,0,4,2
2011,0.69,4,4
2012,0,4,2
2012,1.1,4,4
2013,0,4,4
2014,0.69,4,4
2015,0.69,4,4
2016,7.05,4,4
2017,0.69,4,3
2017,1.95,4,1
2017,0.69,4,4
2018,0,4,3
2018,0,4,4
2019,0,4,4
2021,0,4,4
2022,0.69,4,4
2023,3.56,4,4
2024,1.39,4,4
2025,0.69,4,4
2002,2.4,5,2
2002,3.71,5,1
2002,6.34,5,1
2003,0,5,3
2003,2.2,5,2
2003,3.33,5,1
2003,5.42,5,1
2004,0.69,5,3
2004,4.19,5,2
2004,4.32,5,1
2004,5.3,5,1
2005,0,5,3
2005,3.09,5,2
2005,4.04,5,1
2005,5.43,5,1
2006,3,5,2
2006,4.75,5,1
2006,6.29,5,1
2006,0,5,4
2007,3.81,5,2
2007,4.3,5,1
2007,5.48,5,1
2007,2.4,5,4
2008,3.09,5,2
2008,4.28,5,1
2008,5,5,1
2008,0.69,5,4
2009,3.93,5,2
2009,4.83,5,1
2009,5.95,5,1
2010,0,5,3
2010,3,5,2
2010,4.37,5,1
2010,4.9,5,1
2010,0.69,5,4
2011,0,5,3
2011,4.22,5,2
2011,3.61,5,1
2011,5.08,5,1
2012,0.69,5,3
2012,3.61,5,2
2012,3.71,5,1
2012,5.5,5,1
2013,0,5,3
2013,2.4,5,2
2013,2.77,5,1
2013,5.09,5,1
2014,4.19,5,2
2014,3.04,5,1
2014,5.92,5,1
2015,3.61,5,2
2015,2.71,5,1
2015,5.06,5,1
2016,0,5,3
2016,2.83,5,2
2016,2.3,5,1
2016,5.77,5,1
2017,1.1,5,3
2017,2.77,5,2
2017,3.18,5,1
2017,5.92,5,1
2018,0,5,3
2018,3.14,5,2
2018,3.26,5,1
2018,5.74,5,1
2019,1.61,5,2
2019,2.71,5,1
2019,5.92,5,1
2020,3.3,5,2
2020,3.26,5,1
2020,6.02,5,1
2020,0,5,4
2021,2.2,5,2
2021,2.89,5,1
2021,5.64,5,1
2021,1.39,5,4
2022,0.69,5,3
2022,2.64,5,2
2022,2.64,5,1
2022,5.63,5,1
2022,0,5,4
2023,0.69,5,3
2023,3.83,5,2
2023,3.71,5,1
2023,6.49,5,1
2024,1.61,5,3
2024,3.09,5,2
2024,3.14,5,1
2024,6.04,5,1
2025,1.39,5,3
2025,2.71,5,2
2025,2.77,5,1
2025,6.17,5,1
2025,0,5,4
2002,1.1,6,3
2002,4.63,6,2
2002,8.1,6,1
2002,6.73,6,1
2002,6.87,6,4
2003,0,6,3
2003,1.79,6,2
2003,7.55,6,1
2003,6.74,6,1
2003,4.72,6,4
2004,3.04,6,3
2004,2.64,6,2
2004,7.52,6,1
2004,4.53,6,1
2004,4.37,6,4
2005,3.53,6,3
2005,3.74,6,2
2005,7.67,6,1
2005,6.31,6,1
2005,5.43,6,4
2006,1.1,6,3
2006,2.77,6,2
2006,7.3,6,1
2006,5.51,6,1
2006,4.03,6,4
2007,2.08,6,3
2007,2.83,6,2
2007,8.17,6,1
2007,5.55,6,1
2007,4.58,6,4
2008,1.95,6,3
2008,3.22,6,2
2008,7.96,6,1
2008,5.99,6,1
2008,5.16,6,4
2009,2.71,6,3
2009,3.18,6,2
2009,8.19,6,1
2009,6.05,6,1
2009,4.98,6,4
2010,1.95,6,3
2010,4.83,6,2
2010,8.24,6,1
2010,6.18,6,1
2010,5.04,6,4
2011,3,6,3
2011,5.42,6,2
2011,9.25,6,1
2011,6.9,6,1
2011,7.38,6,4
2012,2.48,6,3
2012,3.56,6,2
2012,8.7,6,1
2012,6.05,6,1
2012,5.31,6,4
2013,1.95,6,3
2013,3.89,6,2
2013,8.82,6,1
2013,6.85,6,1
2013,6.23,6,4
2014,2.3,6,3
2014,3.22,6,2
2014,9,6,1
2014,6.25,6,1
2014,5.27,6,4
2015,1.79,6,3
2015,3.33,6,2
2015,8.69,6,1
2015,5.68,6,1
2015,5.23,6,4
2016,1.61,6,3
2016,4.53,6,2
2016,9.03,6,1
2016,6.89,6,1
2016,7.05,6,4
2017,2.64,6,3
2017,4.09,6,2
2017,8.56,6,1
2017,6.37,6,1
2017,5.73,6,4
2018,2.64,6,3
2018,2.77,6,2
2018,8.32,6,1
2018,5.73,6,1
2018,5.33,6,4
2019,3,6,3
2019,3.4,6,2
2019,8.8,6,1
2019,6.38,6,1
2019,6.92,6,4
2020,3.47,6,3
2020,3.58,6,2
2020,9.08,6,1
2020,6.92,6,1
2020,8.66,6,4
2021,3.95,6,3
2021,3.22,6,2
2021,8.16,6,1
2021,6.18,6,1
2021,5.81,6,4
2022,3.22,6,3
2022,3.81,6,2
2022,8.15,6,1
2022,5.48,6,1
2022,5.12,6,4
2023,3.69,6,3
2023,3.83,6,2
2023,8.7,6,1
2023,6.5,6,1
2023,8.29,6,4
2024,4.01,6,3
2024,3.69,6,2
