"id","country"
1,"Angola"
2,"Argentina"
3,"Australia"
4,"Bahamas"
5,"Bangladesh"
6,"Belize"
7,"Benin"
8,"Bhutan"
9,"Bolivia"
10,"Brazil"
11,"Brunei"
12,"Burundi"
13,"Cambodia"
14,"Cameroon"
15,"CaymanIslands"
16,"Central African Republic"
17,"China"
18,"Colombia"
19,"Costa Rica"
20,"Côte d'Ivoire"
21,"Cuba"
22,"Democratic Republic of the Congo"
23,"Dominica"
24,"Dominican Republic"
25,"Ecuador"
26,"El Salvador"
27,"Equatorial Guinea"
28,"Ethiopia"
29,"Fiji"
30,"French Guiana"
31,"Gabon"
32,"Gambia"
33,"Ghana"
34,"Guadeloupe"
35,"Guatemala"
36,"Guinea"
37,"Guinea-Bissau"
38,"Guyana"
39,"Haiti"
40,"Honduras"
41,"India"
42,"Indonesia"
43,"Jamaica"
44,"Kenya"
45,"Laos"
46,"Liberia"
47,"Madagascar"
48,"Malawi"
49,"Malaysia"
50,"Martinique"
51,"México"
52,"Montserrat"
53,"Mozambique"
54,"Myanmar"
55,"Nepal"
56,"Nicaragua"
57,"Nigeria"
58,"Palau"
59,"Panama"
60,"Papua New Guinea"
61,"Paraguay"
62,"Peru"
63,"Philippines"
64,"Puerto Rico"
65,"Republic of the Congo"
66,"Rwanda"
67,"Saint Kitts and Nevis"
68,"Saint Lucia"
69,"Saint Vincent and the Grenadines"
70,"Senegal"
71,"Sierra Leone"
72,"Singapore"
73,"Solomon Islands"
74,"South Africa"
75,"South Sudan"
76,"Sri Lanka"
77,"Suriname"
78,"Taiwan"
79,"Tanzania"
80,"Thailand"
81,"Togo"
82,"Turks and Caicos Islands"
83,"Uganda"
84,"United States"
85,"UnitedStatesMinorOutlyingIsl"
86,"Vanuatu"
87,"Venezuela"
88,"Vietnam"
89,"Zambia"
90,"Zimbabwe"
