"year","tc_loss_ha_log","subnational.id","country.id","driver.id"
2002,3.43,100,1,2
2002,4.51,100,1,1
2002,6.24,100,1,1
2002,0,100,1,4
2003,3.89,100,1,2
2003,4.88,100,1,1
2003,6.15,100,1,1
2003,0,100,1,4
2004,2.08,100,1,2
2004,3.22,100,1,1
2004,6.53,100,1,1
2005,0,100,1,3
2005,3.58,100,1,2
2005,3.81,100,1,1
2005,5.72,100,1,1
2006,2.89,100,1,2
2006,2.4,100,1,1
2006,5.04,100,1,1
2006,0,100,1,4
2007,0,100,1,3
2007,4.45,100,1,2
2007,6.15,100,1,1
2007,6.74,100,1,1
2008,2.08,100,1,2
2008,4.23,100,1,1
2008,6.42,100,1,1
2009,0,100,1,3
2009,4.48,100,1,2
2009,5.27,100,1,1
2009,7.22,100,1,1
2009,0,100,1,4
2010,0,100,1,3
2010,3.69,100,1,2
2010,4.97,100,1,1
2010,6.31,100,1,1
2010,0,100,1,4
2011,2.56,100,1,2
2011,3.18,100,1,1
2011,5.06,100,1,1
2012,0,100,1,3
2012,4.22,100,1,2
2012,5.45,100,1,1
2012,6.26,100,1,1
2012,0,100,1,4
2013,0,100,1,3
2013,4.16,100,1,2
2013,5.91,100,1,1
2013,7.2,100,1,1
2014,0,100,1,3
2014,3.47,100,1,2
2014,5.19,100,1,1
2014,5.76,100,1,1
2015,4.39,100,1,2
2015,5.75,100,1,1
2015,6.84,100,1,1
2016,0,100,1,3
2016,3.61,100,1,2
2016,5.94,100,1,1
2016,7.03,100,1,1
2017,2.89,100,1,2
2017,5.67,100,1,1
2017,6.44,100,1,1
2017,0.69,100,1,4
2018,1.61,100,1,2
2018,5.57,100,1,1
2018,6.57,100,1,1
2019,2.2,100,1,2
2019,5.81,100,1,1
2019,6.83,100,1,1
2020,0,100,1,3
2020,3.47,100,1,2
2020,5.4,100,1,1
2020,6.43,100,1,1
2021,0,100,1,3
2021,2.4,100,1,2
2021,7.03,100,1,1
2021,7.88,100,1,1
2022,0,100,1,3
2022,2.2,100,1,2
2022,6.02,100,1,1
