"id","country"
1,"Angola"
2,"Argentina"
3,"Australia"
4,"Bahamas"
5,"Bangladesh"
6,"Belize"
7,"Benin"
8,"Bhutan"
9,"Bolivia"
10,"Bonaire, Sint Eustatius and Saba"
11,"Brazil"
12,"British Virgin Islands"
13,"Brunei"
14,"Burundi"
15,"Cambodia"
16,"Cameroon"
17,"CaymanIslands"
18,"Central African Republic"
19,"China"
20,"Colombia"
21,"Costa Rica"
22,"Côte d'Ivoire"
23,"Cuba"
24,"Democratic Republic of the Congo"
25,"Dominica"
26,"Dominican Republic"
27,"Ecuador"
28,"El Salvador"
29,"Equatorial Guinea"
30,"Ethiopia"
31,"Fiji"
32,"French Guiana"
33,"Gabon"
34,"Gambia"
35,"Ghana"
36,"Guadeloupe"
37,"Guatemala"
38,"Guinea"
39,"Guinea-Bissau"
40,"Guyana"
41,"Haiti"
42,"Honduras"
43,"India"
44,"Indonesia"
45,"Jamaica"
46,"Kenya"
47,"Laos"
48,"Liberia"
49,"Madagascar"
50,"Malawi"
51,"Malaysia"
52,"Maldives"
53,"Martinique"
54,"México"
55,"Montserrat"
56,"Mozambique"
57,"Myanmar"
58,"Nepal"
59,"Nicaragua"
60,"Nigeria"
61,"Palau"
62,"Panama"
63,"Papua New Guinea"
64,"Paraguay"
65,"Peru"
66,"Philippines"
67,"Puerto Rico"
68,"Republic of the Congo"
69,"Rwanda"
70,"Saint Kitts and Nevis"
71,"Saint Lucia"
72,"Saint Vincent and the Grenadines"
73,"Saint-Martin"
74,"Senegal"
75,"Sierra Leone"
76,"Singapore"
77,"Sint Maarten"
78,"Solomon Islands"
79,"South Africa"
80,"South Sudan"
81,"Sri Lanka"
82,"Suriname"
83,"Taiwan"
84,"Tanzania"
85,"Thailand"
86,"Togo"
87,"Trinidad and Tobago"
88,"Turks and Caicos Islands"
89,"Uganda"
90,"United States"
91,"UnitedStatesMinorOutlyingIsl"
92,"Vanuatu"
93,"Venezuela"
94,"Vietnam"
95,"Zambia"
96,"Zimbabwe"
